name_dippr,name_cosmors,dippr_chemid,casrn,association_classification,association_subclassification,dippr_chemical_family,molcecular_weight,tc_k,pc_bar,omega,hhb_cosm_kj_kmol,m,sigma,epsilonk_k,association_scheme,epsilonAB_k,kappaAB,errPsat_%,errvLsat_%,errΔvapH_%,errcpLsat_%,Area_HD,Area_NA,Area_HA,Area_Total_COSMO
1-HEPTANOL,1-heptanol,1125,"""111-70-6""",SA,SA,n-alcohols,116.20134,632.3,30.85,0.562105,13.814198,5.70307,3.21612,230.109,2B,2550.0,0.008,1.811173271,1.906511943,0.0,4.751480917,0.005603575783669895,0.17125337200885365,0.011241305281623419,0.18971488113700002
1-OCTANOL,1-octanol,1132,"""111-87-5""",SA,SA,n-alcohols,130.22792,652.3,27.83,0.569694,14.342294,5.72534,3.32599,237.708,2B,2550.0,0.008,1.296150191,0.611879777,3.709715944,4.912607242,0.005396872392797039,0.19157587761556677,0.011001583600190112,0.20978672782399999
1-NONANOL,1-nonanol,1134,"""143-08-8""",SA,SA,n-alcohols,144.2545,670.9,25.27,0.584074,14.20715,5.63136,3.46206,247.481,2B,2550.0,0.008,1.298279173,0.268128161,0.0,7.174170862,0.005581015802669164,0.2115335274503767,0.011135630221736467,0.229869443909
1-DECANOL,1-decanol,1136,"""112-30-1""",SA,SA,n-alcohols,158.28108,688.0,23.08,0.606986,13.597217,5.77978,3.5603,251.71,2B,2550.0,0.008,1.104062698,0.115814835,0.0,4.669633129,0.005635558721355128,0.23132491130146712,0.011024043400310254,0.24994915449900004
1-UNDECANOL,1-undecanol,1137,"""112-42-5""",SA,SA,n-alcohols,172.30766,703.9,21.19,0.623622,13.822681,5.53989,3.73536,263.834,2B,2550.0,0.008,1.649514126,1.052545311,0.0,6.860763568,0.005541381615900206,0.25140333246221946,0.011068318190379211,0.27003037655000006
1-DODECANOL,dodecanol,1140,"""112-53-8""",SA,SA,n-alcohols,186.33424,718.7,19.54,0.655561,13.949674,5.78975,3.784,265.597,2B,2550.0,0.008,1.640851403,0.399279351,0.0,5.322196615,0.0055177893258963415,0.2716830766820328,0.011039990332914387,0.29009913704
1-TRIDECANOL,1-tridecanol,1141,"""112-70-9""",SA,SA,n-alcohols,200.36082,732.4,18.1,0.688102,13.678468,6.01754,3.82756,267.681,2B,2550.0,0.008,1.25399562745273,0.791950633648651,0.0,5.09890556550931,0.005653549812916679,0.29176255650003047,0.010982481963104678,0.31020867188300005
1-PENTADECANOL,1-pentadecanol,1143,"""629-76-5""",SA,SA,n-alcohols,228.41398,757.3,15.69,0.750675,13.149426,6.40494,3.9262,272.434,2B,2550.0,0.008,1.33682518885,0.853636399206671,0.0,4.33758638382395,0.005490280717057347,0.3319738866738383,0.011082967394115559,0.350334607014
1-HEXADECANOL,1-hexadecanol,1144,"""36653-82-4""",SA,SA,n-alcohols,242.44056,768.6,14.68,0.778775,13.343858,6.60956,3.97906,273.953,2B,2550.0,0.008,1.31947513136374,1.05587649797965,0.0,4.34866892116803,0.005537254078103768,0.3518603418054823,0.011129507851962199,0.37040544675400006
1-HEPTADECANOL,1-heptadecanol,1145,"""1454-85-9""",SA,SA,n-alcohols,256.46714,779.2,13.77,0.812318,13.523577,6.99767,3.9909,272.209,2B,2550.0,0.008,0.890556306054682,1.89598355426169,0.0,3.65581971035169,0.005573773749291481,0.3722099815868692,0.011054053555657853,0.390503607099
